Country Name,ISO Code,Year,Survival Rate
Afghanistan,AFG,1950,
Afghanistan,AFG,1951,
Afghanistan,AFG,1952,
Afghanistan,AFG,1953,
Afghanistan,AFG,1954,
Afghanistan,AFG,1955,
Afghanistan,AFG,1956,
Afghanistan,AFG,1957,
Afghanistan,AFG,1958,
Afghanistan,AFG,1959,
Afghanistan,AFG,1960,75.64%
Afghanistan,AFG,1961,76.10%
Afghanistan,AFG,1962,76.54%
Afghanistan,AFG,1963,76.97%
Afghanistan,AFG,1964,77.39%
Afghanistan,AFG,1965,77.78%
Afghanistan,AFG,1966,78.17%
Afghanistan,AFG,1967,78.55%
Afghanistan,AFG,1968,78.93%
Afghanistan,AFG,1969,79.29%
Afghanistan,AFG,1970,79.67%
Afghanistan,AFG,1971,80.03%
Afghanistan,AFG,1972,80.41%
Afghanistan,AFG,1973,80.80%
Afghanistan,AFG,1974,81.19%
Afghanistan,AFG,1975,81.62%
Afghanistan,AFG,1976,82.03%
Afghanistan,AFG,1977,82.46%
Afghanistan,AFG,1978,82.89%
Afghanistan,AFG,1979,83.33%
Afghanistan,AFG,1980,83.77%
Afghanistan,AFG,1981,84.21%
Afghanistan,AFG,1982,84.64%
Afghanistan,AFG,1983,85.08%
Afghanistan,AFG,1984,85.51%
Afghanistan,AFG,1985,85.95%
Afghanistan,AFG,1986,86.39%
Afghanistan,AFG,1987,86.82%
Afghanistan,AFG,1988,87.25%
Afghanistan,AFG,1989,87.67%
Afghanistan,AFG,1990,88.08%
Afghanistan,AFG,1991,88.47%
Afghanistan,AFG,1992,88.84%
Afghanistan,AFG,1993,89.18%
Afghanistan,AFG,1994,89.49%
Afghanistan,AFG,1995,89.78%
Afghanistan,AFG,1996,90.04%
Afghanistan,AFG,1997,90.29%
Afghanistan,AFG,1998,90.52%
Afghanistan,AFG,1999,90.73%
Afghanistan,AFG,2000,90.95%
Afghanistan,AFG,2001,91.17%
Afghanistan,AFG,2002,91.40%
Afghanistan,AFG,2003,91.64%
Afghanistan,AFG,2004,91.88%
Afghanistan,AFG,2005,92.14%
Afghanistan,AFG,2006,92.40%
Afghanistan,AFG,2007,92.66%
Afghanistan,AFG,2008,92.92%
Afghanistan,AFG,2009,93.18%
Afghanistan,AFG,2010,93.43%
Afghanistan,AFG,2011,93.67%
Afghanistan,AFG,2012,93.91%
Afghanistan,AFG,2013,94.13%
Afghanistan,AFG,2014,94.34%
Afghanistan,AFG,2015,94.54%
Afghanistan,AFG,2016,94.70%
Afghanistan,AFG,2017,94.85%
Albania,ALB,1950,
Albania,ALB,1951,
Albania,ALB,1952,
Albania,ALB,1953,
Albania,ALB,1954,
Albania,ALB,1955,
Albania,ALB,1956,
Albania,ALB,1957,
Albania,ALB,1958,
Albania,ALB,1959,
Albania,ALB,1960,
Albania,ALB,1961,
Albania,ALB,1962,
Albania,ALB,1963,
Albania,ALB,1964,
Albania,ALB,1965,
Albania,ALB,1966,
Albania,ALB,1967,
Albania,ALB,1968,
Albania,ALB,1969,
Albania,ALB,1970,
Albania,ALB,1971,
Albania,ALB,1972,
Albania,ALB,1973,
Albania,ALB,1974,
Albania,ALB,1975,
Albania,ALB,1976,
Albania,ALB,1977,
Albania,ALB,1978,92.21%
Albania,ALB,1979,92.84%
Albania,ALB,1980,93.38%
Albania,ALB,1981,93.88%
Albania,ALB,1982,94.32%
Albania,ALB,1983,94.73%
Albania,ALB,1984,95.08%
Albania,ALB,1985,95.41%
Albania,ALB,1986,95.69%
Albania,ALB,1987,95.93%
Albania,ALB,1988,96.15%
Albania,ALB,1989,96.34%
Albania,ALB,1990,96.50%
Albania,ALB,1991,96.65%
Albania,ALB,1992,96.78%
Albania,ALB,1993,96.90%
Albania,ALB,1994,97.02%
Albania,ALB,1995,97.14%
Albania,ALB,1996,97.27%
Albania,ALB,1997,97.40%
Albania,ALB,1998,97.54%
Albania,ALB,1999,97.67%
Albania,ALB,2000,97.82%
Albania,ALB,2001,97.95%
Albania,ALB,2002,98.08%
Albania,ALB,2003,98.21%
Albania,ALB,2004,98.34%
Albania,ALB,2005,98.45%
Albania,ALB,2006,98.57%
Albania,ALB,2007,98.67%
Albania,ALB,2008,98.77%
Albania,ALB,2009,98.85%
Albania,ALB,2010,98.93%
Albania,ALB,2011,98.99%
Albania,ALB,2012,99.05%
Albania,ALB,2013,99.10%
Albania,ALB,2014,99.14%
Albania,ALB,2015,99.17%
Albania,ALB,2016,99.19%
Albania,ALB,2017,99.22%
Algeria,DZA,1950,
Algeria,DZA,1951,
Algeria,DZA,1952,
Algeria,DZA,1953,
Algeria,DZA,1954,84.99%
Algeria,DZA,1955,85.11%
Algeria,DZA,1956,85.21%
Algeria,DZA,1957,85.27%
Algeria,DZA,1958,85.31%
Algeria,DZA,1959,85.33%
Algeria,DZA,1960,85.33%
Algeria,DZA,1961,85.32%
Algeria,DZA,1962,85.29%
Algeria,DZA,1963,85.25%
Algeria,DZA,1964,85.19%
Algeria,DZA,1965,85.13%
Algeria,DZA,1966,85.10%
Algeria,DZA,1967,85.08%
Algeria,DZA,1968,85.13%
Algeria,DZA,1969,85.23%
Algeria,DZA,1970,85.42%
Algeria,DZA,1971,85.66%
Algeria,DZA,1972,85.97%
Algeria,DZA,1973,86.33%
Algeria,DZA,1974,86.74%
Algeria,DZA,1975,87.19%
Algeria,DZA,1976,87.67%
Algeria,DZA,1977,88.16%
Algeria,DZA,1978,88.68%
Algeria,DZA,1979,89.23%
Algeria,DZA,1980,89.84%
Algeria,DZA,1981,90.56%
Algeria,DZA,1982,91.40%
Algeria,DZA,1983,92.33%
Algeria,DZA,1984,93.26%
Algeria,DZA,1985,94.07%
Algeria,DZA,1986,94.71%
Algeria,DZA,1987,95.16%
Algeria,DZA,1988,95.48%
Algeria,DZA,1989,95.68%
Algeria,DZA,1990,95.82%
Algeria,DZA,1991,95.91%
Algeria,DZA,1992,96.00%
Algeria,DZA,1993,96.09%
Algeria,DZA,1994,96.19%
Algeria,DZA,1995,96.28%
Algeria,DZA,1996,96.37%
Algeria,DZA,1997,96.45%
Algeria,DZA,1998,96.51%
Algeria,DZA,1999,96.56%
Algeria,DZA,2000,96.61%
Algeria,DZA,2001,96.67%
Algeria,DZA,2002,96.76%
Algeria,DZA,2003,96.87%
Algeria,DZA,2004,96.99%
Algeria,DZA,2005,97.12%
Algeria,DZA,2006,97.25%
Algeria,DZA,2007,97.36%
Algeria,DZA,2008,97.47%
Algeria,DZA,2009,97.57%
Algeria,DZA,2010,97.65%
Algeria,DZA,2011,97.71%
Algeria,DZA,2012,97.76%
Algeria,DZA,2013,97.79%
Algeria,DZA,2014,97.82%
Algeria,DZA,2015,97.86%
Algeria,DZA,2016,97.90%
Algeria,DZA,2017,97.94%
Andorra,AND,1950,
Andorra,AND,1951,
Andorra,AND,1952,
Andorra,AND,1953,
Andorra,AND,1954,
Andorra,AND,1955,
Andorra,AND,1956,
Andorra,AND,1957,
Andorra,AND,1958,
Andorra,AND,1959,
Andorra,AND,1960,
Andorra,AND,1961,
Andorra,AND,1962,
Andorra,AND,1963,
Andorra,AND,1964,
Andorra,AND,1965,
Andorra,AND,1966,
Andorra,AND,1967,
Andorra,AND,1968,
Andorra,AND,1969,
Andorra,AND,1970,
Andorra,AND,1971,
Andorra,AND,1972,
Andorra,AND,1973,
Andorra,AND,1974,
Andorra,AND,1975,
Andorra,AND,1976,
Andorra,AND,1977,
Andorra,AND,1978,
Andorra,AND,1979,
Andorra,AND,1980,
Andorra,AND,1981,
Andorra,AND,1982,
Andorra,AND,1983,
Andorra,AND,1984,
Andorra,AND,1985,98.81%
Andorra,AND,1986,98.90%
Andorra,AND,1987,98.98%
Andorra,AND,1988,99.06%
Andorra,AND,1989,99.12%
Andorra,AND,1990,99.18%
Andorra,AND,1991,99.23%
Andorra,AND,1992,99.28%
Andorra,AND,1993,99.32%
Andorra,AND,1994,99.36%
Andorra,AND,1995,99.39%
Andorra,AND,1996,99.42%
Andorra,AND,1997,99.45%
Andorra,AND,1998,99.47%
Andorra,AND,1999,99.49%
Andorra,AND,2000,99.51%
Andorra,AND,2001,99.53%
Andorra,AND,2002,99.54%
Andorra,AND,2003,99.55%
Andorra,AND,2004,99.57%
Andorra,AND,2005,99.58%
Andorra,AND,2006,99.59%
Andorra,AND,2007,99.59%
Andorra,AND,2008,99.60%
Andorra,AND,2009,99.61%
Andorra,AND,2010,99.61%
Andorra,AND,2011,99.62%
Andorra,AND,2012,99.62%
Andorra,AND,2013,99.63%
Andorra,AND,2014,99.63%
Andorra,AND,2015,99.64%
Andorra,AND,2016,99.65%
Andorra,AND,2017,99.66%
Angola,AGO,1950,
Angola,AGO,1951,
Angola,AGO,1952,
Angola,AGO,1953,
